date,indicator,warn_type
2012-09-05,sma5_10_cross,TOP
2012-09-26,sma5_10_cross,TOP
2012-10-10,sma5_10_cross,TOP
2012-10-19,macd_wk_hist,TOP
2012-10-23,dd52w_cross_6,TOP
2012-11-02,dd52w_cross_6,TOP
2012-11-07,close_x_sma200,TOP
2012-11-07,dd52w_cross_6,TOP
2012-11-28,close_x_sma200,BOTTOM
2012-12-05,close_x_sma200,TOP
2012-12-05,dd52w_cross_6,TOP
2012-12-06,close_x_sma200,BOTTOM
2012-12-07,close_x_sma200,TOP
2012-12-07,wk10_40_cross,TOP
2012-12-11,close_x_sma200,BOTTOM
2012-12-13,dd52w_cross_6,TOP
2012-12-14,close_x_sma200,TOP
2012-12-17,close_x_sma200,BOTTOM
2012-12-26,close_x_sma200,TOP
2012-12-26,dd52w_cross_6,TOP
2012-12-31,close_x_sma200,BOTTOM
2013-01-11,wk10_40_cross,BOTTOM
2013-02-08,rsi14_top_div,TOP
2013-02-21,sma5_10_cross,TOP
2013-03-05,rsi14_top_div,TOP
2013-03-07,rsi14_top_div,TOP
2013-03-21,sma5_10_cross,TOP
2013-03-28,rsi14_top_div,TOP
2013-04-04,sma5_10_cross,TOP
2013-04-10,rsi14_top_div,TOP
2013-04-11,rsi14_top_div,TOP
2013-04-18,sma5_10_cross,TOP
2013-04-29,rsi14_top_div,TOP
2013-05-02,rsi14_top_div,TOP
2013-05-28,sma5_10_cross,TOP
2013-06-14,sma5_10_cross,TOP
2013-06-20,sma5_10_cross,TOP
2013-06-28,macd_wk_hist,TOP
2013-07-09,rsi14_top_div,TOP
2013-07-10,rsi14_top_div,TOP
2013-07-11,rsi14_top_div,TOP
2013-07-12,rsi14_top_div,TOP
2013-07-15,rsi14_top_div,TOP
2013-07-17,rsi14_top_div,TOP
2013-07-18,rsi14_top_div,TOP
2013-07-24,sma5_10_cross,TOP
2013-07-26,rsi14_top_div,TOP
2013-07-30,rsi14_top_div,TOP
2013-07-31,rsi14_top_div,TOP
2013-08-13,sma5_10_cross,TOP
2013-08-30,sma5_10_cross,TOP
2013-09-09,rsi14_top_div,TOP
2013-09-10,rsi14_top_div,TOP
2013-09-17,rsi14_top_div,TOP
2013-09-18,rsi14_top_div,TOP
2013-09-19,rsi14_top_div,TOP
2013-10-08,sma5_10_cross,TOP
2013-10-16,rsi14_top_div,TOP
2013-10-17,rsi14_top_div,TOP
2013-11-05,sma5_10_cross,TOP
2013-11-13,rsi14_top_div,TOP
2013-11-14,rsi14_top_div,TOP
2013-11-15,rsi14_top_div,TOP
2013-11-22,rsi14_top_div,TOP
2013-11-22,sma5_10_cross,TOP
2013-11-25,rsi14_top_div,TOP
2013-11-26,rsi14_top_div,TOP
2013-12-12,sma5_10_cross,TOP
2013-12-18,rsi14_top_div,TOP
2014-01-06,sma5_10_cross,TOP
2014-01-14,rsi14_top_div,TOP
2014-01-15,rsi14_top_div,TOP
2014-01-16,rsi14_top_div,TOP
2014-01-21,rsi14_top_div,TOP
2014-01-22,rsi14_top_div,TOP
2014-01-24,macd_wk_hist,TOP
2014-01-27,sma5_10_cross,TOP
2014-02-14,rsi14_top_div,TOP
2014-03-13,sma5_10_cross,TOP
2014-03-14,macd_wk_hist,TOP
2014-03-25,sma5_10_cross,TOP
2014-04-07,dd52w_cross_6,TOP
2014-04-10,dd52w_cross_6,TOP
2014-04-25,dd52w_cross_6,TOP
2014-05-06,dd52w_cross_6,TOP
2014-05-15,dd52w_cross_6,TOP
2014-06-25,rsi14_top_div,TOP
2014-07-11,sma5_10_cross,TOP
2014-07-31,sma5_10_cross,TOP
2014-08-18,rsi14_top_div,TOP
2014-08-19,rsi14_top_div,TOP
2014-08-21,rsi14_top_div,TOP
2014-08-22,rsi14_top_div,TOP
2014-08-25,rsi14_top_div,TOP
2014-08-26,rsi14_top_div,TOP
2014-08-29,rsi14_top_div,TOP
2014-09-09,sma5_10_cross,TOP
2014-09-12,sma5_10_cross,TOP
2014-10-03,macd_wk_hist,TOP
2014-10-10,close_x_sma200,TOP
2014-10-10,dd52w_cross_6,TOP
2014-10-20,close_x_sma200,BOTTOM
2014-10-31,rsi14_top_div,TOP
2014-11-03,rsi14_top_div,TOP
2014-11-10,rsi14_top_div,TOP
2014-11-11,rsi14_top_div,TOP
2014-11-12,rsi14_top_div,TOP
2014-11-13,rsi14_top_div,TOP
2014-12-10,sma5_10_cross,TOP
2014-12-26,rsi14_top_div,TOP
2014-12-29,rsi14_top_div,TOP
2015-01-05,sma5_10_cross,TOP
2015-01-15,sma5_10_cross,TOP
2015-01-16,macd_wk_hist,TOP
2015-01-30,sma5_10_cross,TOP
2015-03-09,sma5_10_cross,TOP
2015-03-20,rsi14_top_div,TOP
2015-03-27,sma5_10_cross,TOP
2015-04-02,macd_wk_hist,TOP
2015-04-17,macd_wk_hist,TOP
2015-04-22,rsi14_top_div,TOP
2015-04-23,rsi14_top_div,TOP
2015-05-01,sma5_10_cross,TOP
2015-05-08,macd_wk_hist,TOP
2015-05-27,rsi14_top_div,TOP
2015-06-01,sma5_10_cross,TOP
2015-06-04,sma5_10_cross,TOP
2015-06-05,macd_wk_hist,TOP
2015-06-29,sma5_10_cross,TOP
2015-07-27,sma5_10_cross,TOP
2015-08-07,sma5_10_cross,TOP
2015-08-20,close_x_sma200,TOP
2015-08-20,dd52w_cross_6,TOP
2015-09-01,sma5_10_cross,BOTTOM
2015-09-25,wk10_40_cross,TOP
2015-10-23,close_x_sma200,BOTTOM
2015-10-30,macd_wk_hist,BOTTOM
2015-11-11,sma5_10_cross,TOP
2015-11-13,close_x_sma200,TOP
2015-11-16,close_x_sma200,BOTTOM
2015-12-01,rsi14_top_div,TOP
2015-12-04,wk10_40_cross,BOTTOM
2015-12-08,sma5_10_cross,TOP
2015-12-11,close_x_sma200,TOP
2015-12-15,close_x_sma200,BOTTOM
2015-12-18,close_x_sma200,TOP
2015-12-22,close_x_sma200,BOTTOM
2015-12-22,sma5_10_cross,BOTTOM
2015-12-23,sma5_10_cross,TOP
2016-01-04,close_x_sma200,TOP
2016-01-04,dd52w_cross_6,TOP
2016-01-11,sma200_slope_neg,TOP
2016-01-15,rsi14_bot_div,BOTTOM
2016-01-15,wk10_40_cross,TOP
2016-01-19,rsi14_bot_div,BOTTOM
2016-01-20,rsi14_bot_div,BOTTOM
2016-01-27,rsi14_bot_div,BOTTOM
2016-01-27,sma5_10_cross,BOTTOM
2016-02-05,rsi14_bot_div,BOTTOM
2016-02-18,sma5_10_cross,BOTTOM
2016-03-15,sma5_10_cross,BOTTOM
2016-03-18,macd_wk_hist,BOTTOM
2016-03-30,close_x_sma200,BOTTOM
2016-04-04,dd52w_cross_6,TOP
2016-04-05,close_x_sma200,TOP
2016-04-06,close_x_sma200,BOTTOM
2016-04-07,close_x_sma200,TOP
2016-04-07,dd52w_cross_6,TOP
2016-04-12,close_x_sma200,BOTTOM
2016-04-25,dd52w_cross_6,TOP
2016-04-28,close_x_sma200,TOP
2016-05-13,sma5_10_cross,BOTTOM
2016-05-13,wk10_40_cross,BOTTOM
2016-05-24,close_x_sma200,BOTTOM
2016-06-10,dd52w_cross_6,TOP
2016-06-17,close_x_sma200,TOP
2016-06-20,close_x_sma200,BOTTOM
2016-06-24,close_x_sma200,TOP
2016-06-24,dd52w_cross_6,TOP
2016-06-30,close_x_sma200,BOTTOM
2016-07-01,wk10_40_cross,TOP
2016-07-08,wk10_40_cross,BOTTOM
2016-07-11,rsi14_top_div,TOP
2016-07-12,rsi14_top_div,TOP
2016-08-24,sma5_10_cross,TOP
2016-09-06,rsi14_top_div,TOP
2016-09-07,rsi14_top_div,TOP
2016-09-12,sma5_10_cross,TOP
2016-09-21,rsi14_top_div,TOP
2016-09-22,rsi14_top_div,TOP
2016-10-10,rsi14_top_div,TOP
2016-10-12,sma5_10_cross,TOP
2016-10-28,macd_wk_hist,TOP
2016-10-31,sma5_10_cross,TOP
2016-11-18,sma5_10_cross,TOP
2016-12-01,sma5_10_cross,TOP
2016-12-29,sma5_10_cross,TOP
2017-02-08,rsi14_top_div,TOP
2017-03-13,rsi14_top_div,TOP
2017-03-15,rsi14_top_div,TOP
2017-03-22,sma5_10_cross,TOP
2017-03-29,rsi14_top_div,TOP
2017-03-30,rsi14_top_div,TOP
2017-04-04,rsi14_top_div,TOP
2017-04-10,sma5_10_cross,TOP
2017-04-20,rsi14_top_div,TOP
2017-05-18,sma5_10_cross,TOP
2017-05-24,rsi14_top_div,TOP
2017-05-25,rsi14_top_div,TOP
2017-05-26,rsi14_top_div,TOP
2017-05-30,rsi14_top_div,TOP
